Ders,9FEN,9AND,10FEN,10AND,11FEN,11AND SAY,11AND EA,12SAY,12EA
EDUxLab Programı,Z,Z,Z,Z,Z,Z,Z,Z,Z
İngilizce (Main Course),2,2,2,2,2,2,2,2,2
Think & Talk,8,8,8,8,-,-,-,-,-
Beden Eğitimi,2,2,2,2,2,2,2,2,2
Kur’an Kerim + Din Kültürü,4,4,4,4,3,3,3,2,2
Görsel Sanatlar / Müzik,2,2,2,2,-,-,-,-,-
2. Yabancı Dil,2,2,2,2,-,-,-,-,-
Öğrenci Kulüpleri,2,2,2,2,-,-,-,-,-
Matematik,6,6,6,6,7,6,5,6,5
Geometri,2,2,2,2,2,2,2,2,2
Edebiyat,5,5,4,4,4,4,4,4,4
Tarih,2,2,2,2,2,2,2,-,-
Coğrafya,2,2,2,2,2,2,2,-,-
Felsefe,-,-,-,-,2,2,2,-,-
Fizik,2,2,2,2,5,5,3,5,3
Kimya,2,2,2,2,5,5,2,4,1
Biyoloji,2,2,2,2,5,5,2,6,1
